timestamp,mode,RF_amplitude,U2,scan_type,setpoint_idx,rep,min_scan,max_scan,n_peaks,r2,aicc,c0,amp1,mu1,sigma1,amp2,mu2,sigma2,amp3,mu3,sigma3,amp4,mu4,sigma4,amp5,mu5,sigma5,amp6,mu6,sigma6,amp7,mu7,sigma7,amp8,mu8,sigma8
20260309_135139,trapped,1.2,-0.27,DC,14,0,20.0,140.0,8,0.9182532675053974,-2758.0970267021034,0.097909686708118,-0.059600656662556,106.41339896785291,0.5000000000010093,-0.0340715758977566,60.16241628773268,1.1083062413859563,-0.0380538159597959,71.88432804515485,0.5000000000000001,-0.0173303516170133,58.0854135430469,5.569837766147837,-0.0104611228279786,110.7190397301152,10.920723202774791,-0.0230036313168551,44.39982962824534,1.6704527557683897,-0.0065904806078761,130.707453537244,2.803380873302924,-0.0032035256884037,83.94689396121906,6.211927922580777
20260309_145601,lost,1.2,-0.255,DC,11,0,20.0,140.0,8,0.9332812268168066,-2768.0913506691413,0.0801482164683233,0.0219712159396893,123.97296965005856,16.868395359410425,0.0360463381315589,61.69693194721272,1.6067319463851948,0.0488854738664463,106.3756970288776,0.5094415428364211,0.0157670149999726,42.729403726957706,1.6626062730761046,0.0102825918428547,57.45952853043105,3.5161025736123133,0.0064805895668125,83.15293945682812,1.9975972426251627,0.026364056042333,71.06877735183087,0.5000000000000001,0.0122155495722305,105.2400278864736,1.1460924959188374
20260309_145601,trapped,1.2,-0.255,DC,11,0,20.0,140.0,8,0.920779756817552,-2770.3797536510647,0.1073727867819164,-0.066854349362789,106.4401586387981,0.5000000000000001,-0.0328970374771178,71.13742669311101,0.5000000000000001,-0.0099594938138282,55.24150595819229,14.98167207057038,-0.0139703723130696,118.74973942059636,20.012066994494266,-0.0330022171749998,61.80516505872588,1.9468226157772597,-0.0208717665075145,42.24904171643849,1.2294505834366876,-0.0091090662666137,81.54270048758111,0.5718321386479696,-0.0118920099562627,104.84959925525058,0.7258946392431714
20260309_155825,lost,1.2,-0.4,DC,22,1,20.0,140.0,8,0.940455857535585,-2595.6107278862346,0.0896960526208189,0.0418359404872411,47.47402219048824,3.521976324551923,0.0144328980748145,108.03244503029708,4.910935827008918,0.0402651022360947,54.84718026666726,0.528283246657125,0.0305852610550023,72.65433686164836,0.7767465194241685,0.022627230175747,121.07299999194956,2.2653499261737373,0.0299220204767186,43.51266809619408,28.28787958041958,0.0406319642470989,105.68936970052832,0.5000000000000001,0.011577826254685,88.12797082490873,10.587563774972224
20260309_155825,trapped,1.2,-0.4,DC,22,1,20.0,140.0,7,0.9190833092173843,-2648.5462532725437,0.0735938351301264,-0.026584804259499,47.8766457312009,1.9067306308445295,-0.0475287295587042,72.77057234554715,0.8283412904770467,-0.0444197428506535,105.61205626354314,0.5693099962228939,-0.0447482067863873,54.82747900419184,0.5036423536881806,-0.0164349836104677,120.98707698867985,1.9421461018099424,-0.0103019500943414,101.45050992507352,25.178233567262872,-0.0267679914059612,47.87727678433183,7.950078278755157,,,
20260309_165719,lost,1.2,-0.34,DC,19,2,20.0,140.0,8,0.9119831461332902,-2735.7934377995134,0.0791349452887616,0.015187029303582,102.29286263737988,17.09015582115224,0.0162774129149744,55.55424046864963,1.4159769219671208,0.0248781710742023,71.73900841777719,0.7256117749499986,0.0227819458934438,52.05337309582055,5.7945433860491296,0.0101140028828806,127.09887314751523,2.252395357394505,0.0435099217083586,107.54638178421084,0.5000000000000001,0.0158808575275555,121.42225496004468,0.6439894141700597,0.0139218569291551,108.6303667652992,1.8627082924709184
20260309_165719,trapped,1.2,-0.34,DC,19,2,20.0,140.0,8,0.8898501178553366,-2681.758748075792,0.0933958985992449,-0.0133240267242849,109.16668113327218,19.54580963610961,-0.0151435650883916,121.53832511364992,0.5000000000000008,-0.0180614538268782,49.8090728867907,0.9662645108153496,-0.0472575517339393,107.59322985413084,0.7956250489724883,-0.0254371739888175,55.38224449537783,1.736487156100737,-0.0155844205261117,50.50613533631292,9.0836500867188,-0.0367298781334174,71.86792439209084,0.6178386127454797,-0.0076880547499743,273.12910899084875,4.859533429589946
20260309_195650,lost,1.2,-0.255,DC,11,1,20.0,140.0,7,0.8892054552185795,-2658.041941738874,0.0748241681778091,0.0708761056983368,106.61855980836916,0.5672924625115164,0.0319242443666483,62.16872430058761,1.6033730299322655,0.038992016615459,70.9805098654667,0.5000000000000001,0.0161289633727241,59.393338032652544,5.129823683747633,0.0083565475133357,113.14100900763088,0.8131031393117107,0.0079569536885635,126.3611590059106,5.4605509362126,0.0131625916322166,42.85551430515626,1.7547308830254356,,,
20260309_195650,trapped,1.2,-0.255,DC,11,1,20.0,140.0,6,0.8891032254737372,-2648.329592507183,0.1051307533889131,-0.0753281027425435,106.6320201219291,0.5817035590424582,-0.0102545308013309,58.49692293575114,5.028039197927722,-0.0452491770128219,70.99377695049242,0.5000000000000001,-0.0200460315562734,42.01777137465492,2.4346839665788,-0.0340988811451218,62.50417301392813,1.7876391461883097,-0.0049541487240451,111.60691772542556,9.75408083842512,,,,,,
20260309_210015,lost,1.2,-0.3,DC,17,0,20.0,140.0,6,0.8482222291623498,-2457.025117296512,0.072965224186641,0.0593413148129948,59.90158983304551,0.5301058848587522,0.0666302134947764,107.8579232225438,0.5000000000000001,0.0251258720190769,117.75952021565136,14.766048369940776,0.0244593567509608,47.3327313593695,1.3748774539575783,0.0370882120478852,57.89263166811155,2.425515635270476,0.0154366054588234,60.97962217890375,33.26966347965025,,,,,,
