timestamp,mode,U2,RF_amplitude,line_id,rep,min_scan,max_scan,n_peaks,r2,aicc,c0,amp1,mu1,sigma1,amp2,mu2,sigma2,amp3,mu3,sigma3,amp4,mu4,sigma4
20260206_180537,trapped,-0.23,2.5,2,4,94.0,153.0,4,0.9089197457654669,-2363.5551728274404,0.20075273649741412,-0.07806665123042822,104.35140423083357,0.33889851803251714,-0.04577607879062377,144.46203749529258,2.1742212979426996,-0.03063090794931894,123.75096809553959,1.442627558820117,-0.06482423010625618,103.37848617789913,1.4927450721171793
20260206_185453,lost,-0.23500000000000001,2.5,0,0,31.0,51.0,2,0.9759592917827908,-944.0933408789531,0.015810543771787727,0.06105693759119814,41.43511159956681,0.4317153541068569,0.029366040280044702,39.270652127031774,2.0467821114738056,,,,,,
20260206_185453,trapped,-0.23500000000000001,2.5,0,0,31.0,51.0,2,0.9206205602104792,-835.1802093390326,0.1991967864770426,-0.06337830204619162,41.564697107416066,0.3115296369063639,-0.037052171665192014,39.722552712886404,1.7981006643424418,,,,,,
20260206_190833,lost,-0.23500000000000001,2.5,1,0,52.0,72.0,2,0.9838162811397956,-890.7497881623248,0.01845956482185632,0.05530175608491948,59.54511143435282,2.4116742989055338,0.07826579501718209,62.28618058860763,0.6469203737933827,,,,,,
20260206_190833,trapped,-0.23500000000000001,2.5,1,0,52.0,72.0,2,0.9644766100105362,-835.8697290166064,0.19956177689786822,-0.08067594570990419,62.40935460335013,0.6837394424706782,-0.043063636774325786,59.85397461374923,2.511238624906963,,,,,,
20260206_192217,lost,-0.23500000000000001,2.5,2,0,73.0,93.0,1,0.955801796358731,-893.4205778875282,0.015161277023072368,0.054974073862947385,82.06109248297723,1.6968102627300947,,,,,,,,,
20260206_192217,trapped,-0.23500000000000001,2.5,2,0,73.0,93.0,2,0.9216434012082713,-827.612889136792,0.20801240029485085,-0.031139559184737514,83.08283485253173,0.5189087779643918,-0.04617406395340574,81.64731858426256,1.731005774336492,,,,,,
20260206_193532,lost,-0.23500000000000001,2.5,3,0,94.0,114.0,1,0.9139559523666579,-778.6131344830577,0.0186910876507698,0.09055671138713102,103.92058828346974,1.104461234803591,,,,,,,,,
20260206_193532,trapped,-0.23500000000000001,2.5,3,0,94.0,114.0,2,0.9531124256761047,-808.0603504000059,0.20631823875149102,-0.08001744487461077,104.50191779563173,0.34723070107830845,-0.06262720049481112,103.67601097483315,1.212686215490978,,,,,,
20260206_194841,lost,-0.23500000000000001,2.5,4,0,115.0,135.0,1,0.930788969955412,-946.9860685781675,0.01530262492876163,0.03001970804988451,123.426585082191,1.9490313491367532,,,,,,,,,
