U2,RF_amplitude,mesh_voltage,MCP_front,Ex,Ey,Ez,time_cost,lifetime
-0.365,1,200,300,-0.14,0.02,0,,
-0.05,8,80,300,-0.14,0.08,0.06,,
-0.4,6.6,104,340,-0.14,0.068,0.012,,
-0.085,1,200,300,-0.08,0.08,0.06,,
-0.05,8,104,460,-0.092,0.02,0.06,,
-0.3475,8,80,300,-0.14,0.08,0,,
-0.4,1,80,300,-0.14,0.08,0.06,,
-0.05,2.05,200,500,-0.131,0.068,0,,
-0.05,1,176,340,-0.095,0.068,0.06,,
-0.12,8,176,340,-0.128,0.032,0.06,,
-0.4,2.4,176,300,-0.14,0.08,0.048,,
-0.4,8,176,500,-0.092,0.032,0.012,,
-0.33,8,176,500,-0.092,0.08,0.012,,
-0.05,1,200,500,-0.14,0.029,0,,
-0.4,2.4,176,300,-0.08,0.068,0.048,,
-0.12,2.4,176,340,-0.092,0.02,0,,
-0.12,2.4,104,500,-0.128,0.068,0,,
-0.1025,6.95,200,300,-0.14,0.071,0.06,,
-0.4,8,200,300,-0.14,0.02,0.06,,
-0.33,1,80,340,-0.125,0.056,0,,
-0.1025,8,80,500,-0.08,0.08,0.06,,
-0.05,2.4,80,470,-0.08,0.08,0.009,,
-0.33,2.4,176,500,-0.08,0.068,0.048,,
-0.33,2.4,200,460,-0.128,0.08,0.048,,
-0.4,1,200,300,-0.14,0.02,0,,
-0.05,2.4,104,500,-0.14,0.035,0.015,,
-0.33,1,200,500,-0.14,0.068,0,,
-0.12,2.75,170,500,-0.128,0.02,0,,
-0.05,8,104,460,-0.092,0.068,0.048,,
-0.12,8,80,460,-0.092,0.047,0,,
-0.33,6.6,200,340,-0.092,0.08,0.048,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.33,8,110,300,-0.128,0.032,0.06,,
-0.33,8,104,460,-0.14,0.08,0.048,,
-0.12,8,176,460,-0.14,0.032,0.048,,
-0.05,1,200,470,-0.08,0.02,0,,
-0.05,1,80,500,-0.08,0.02,0.06,,
-0.4,1,104,340,-0.14,0.032,0.06,,
-0.4,8,80,300,-0.08,0.08,0.06,,
-0.12,2.75,200,300,-0.092,0.02,0.012,,
-0.05,8,200,500,-0.14,0.08,0,,
-0.33,6.6,80,460,-0.128,0.032,0.06,,
-0.33,8,200,340,-0.125,0.029,0,,
-0.33,6.95,182,500,-0.14,0.08,0.06,,
-0.12,8,104,300,-0.128,0.068,0,,
-0.05,1,80,500,-0.14,0.02,0,,
-0.3475,6.6,104,500,-0.092,0.02,0.048,,
-0.05,2.75,200,300,-0.092,0.032,0.06,,
-0.33,6.6,80,500,-0.092,0.068,0.06,,
-0.4,1,104,340,-0.14,0.068,0.012,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.05,1,200,300,-0.134,0.02,0.06,,
-0.05,6.6,200,340,-0.092,0.068,0.048,,
-0.4,1,80,330,-0.14,0.08,0.051,,
-0.33,2.4,80,500,-0.08,0.068,0.048,,
-0.4,1,200,300,-0.14,0.08,0.06,,
-0.12,1,176,340,-0.128,0.032,0.06,,
-0.4,1,200,300,-0.08,0.029,0.051,,
-0.05,1,80,300,-0.14,0.08,0.06,,
-0.12,6.6,80,300,-0.092,0.08,0,,
-0.4,1,182,300,-0.14,0.02,0.06,,
-0.12,6.6,80,340,-0.14,0.068,0.048,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.05,8,182,300,-0.08,0.08,0.009,,
-0.12,6.6,140,500,-0.092,0.068,0,,
-0.12,8,104,500,-0.128,0.068,0.048,,
-0.4,8,200,500,-0.08,0.02,0,,
-0.33,2.4,200,340,-0.14,0.032,0.048,,
-0.2425,8,80,340,-0.092,0.032,0.048,,
-0.05,6.6,176,390,-0.08,0.032,0.012,,
-0.05,1,200,300,-0.14,0.08,0.009,,
-0.05,8,98,300,-0.08,0.071,0.06,,
-0.05,6.6,104,460,-0.08,0.068,0.048,,
-0.4,1,80,500,-0.08,0.02,0,,
-0.4,8,80,500,-0.14,0.08,0,,
-0.33,6.6,176,300,-0.128,0.02,0.009,,
-0.12,6.6,80,460,-0.08,0.068,0.012,,
-0.12,6.6,176,340,-0.095,0.08,0.06,,
-0.33,2.4,80,500,-0.125,0.068,0.012,,
-0.33,8,80,330,-0.092,0.068,0,,
-0.33,2.4,104,450,-0.14,0.08,0,,
-0.12,6.6,80,500,-0.08,0.02,0.012,,
-0.4,2.4,104,340,-0.092,0.02,0.012,,
-0.05,2.4,104,460,-0.128,0.068,0.06,,
-0.12,2.4,80,500,-0.092,0.068,0.048,,
-0.12,2.75,170,460,-0.08,0.068,0,,
-0.4,2.05,80,300,-0.14,0.02,0,,
-0.12,2.05,80,330,-0.092,0.032,0,,
-0.33,1,104,340,-0.128,0.02,0,,
-0.05,8,200,300,-0.08,0.071,0.06,,
-0.05,8,98,300,-0.14,0.08,0.06,,
-0.05,2.4,200,500,-0.128,0.08,0.012,,
-0.33,8,176,300,-0.128,0.05,0.012,,
-0.4,8,98,300,-0.14,0.08,0.06,,
-0.12,6.6,80,460,-0.128,0.02,0.06,,
-0.4,1,200,500,-0.14,0.02,0.06,,
-0.4,6.6,104,340,-0.092,0.02,0.012,,
-0.4,1,200,300,-0.14,0.08,0,,
-0.05,8,80,300,-0.14,0.08,0,,
-0.4,6.6,200,340,-0.08,0.068,0.012,,
-0.33,2.4,200,450,-0.08,0.08,0.012,,
-0.12,6.6,176,500,-0.092,0.08,0.048,,
-0.12,2.4,200,340,-0.08,0.02,0.048,,
-0.1025,6.95,80,470,-0.14,0.02,0.06,,
-0.05,1,200,500,-0.086,0.08,0.06,,
-0.12,1,200,460,-0.128,0.068,0.048,,
-0.05,6.6,104,460,-0.08,0.068,0.048,,
-0.4,2.75,104,460,-0.08,0.08,0.012,,
-0.12,2.4,176,500,-0.092,0.032,0.06,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.12,8,104,340,-0.128,0.068,0.06,,
-0.05,1,200,460,-0.092,0.08,0.012,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.12,1,104,300,-0.08,0.02,0.06,,
-0.19,6.6,80,460,-0.128,0.08,0.048,,
-0.12,2.75,80,460,-0.128,0.032,0.06,,
-0.12,1,104,500,-0.125,0.068,0.012,,
-0.12,6.25,176,460,-0.14,0.068,0.06,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.4,8,80,300,-0.14,0.02,0,,
-0.4,8,80,500,-0.14,0.02,0.06,,
-0.05,1,80,470,-0.089,0.08,0.06,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.05,6.6,200,460,-0.128,0.068,0.048,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.3125,1,200,300,-0.092,0.05,0.048,,
-0.05,2.05,200,300,-0.08,0.08,0.051,,
-0.05,6.6,104,500,-0.128,0.068,0.012,,
-0.225,4.5,140,400,-0.11,0.05,0.03,,
-0.2075,8,80,340,-0.14,0.032,0.03,,
-0.33,1,104,500,-0.14,0.02,0.048,,
-0.12,6.6,80,500,-0.14,0.056,0.06,,
-0.33,8,80,340,-0.128,0.068,0.06,,
-0.33,6.6,200,300,-0.14,0.02,0.045,,
-0.12,2.4,104,300,-0.14,0.032,0.06,,
-0.4,8,104,460,-0.092,0.068,0.051,,
-0.4,2.4,176,340,-0.128,0.02,0.048,,
-0.33,1,110,450,-0.14,0.032,0,,
-0.33,1,176,340,-0.092,0.032,0.012,,
-0.12,6.6,176,340,-0.14,0.08,0.06,,
-0.4,4.85,104,300,-0.092,0.032,0.03,,
-0.05,2.05,176,300,-0.14,0.071,0,,
-0.4,8,200,300,-0.08,0.08,0.06,,
-0.05,6.6,104,340,-0.092,0.02,0.012,,
-0.12,6.6,104,340,-0.092,0.032,0.06,,
-0.05,8,176,460,-0.128,0.068,0.048,,
-0.05,1,92,500,-0.14,0.074,0.06,,
-0.33,6.6,176,300,-0.08,0.02,0.048,,
-0.05,1,200,500,-0.14,0.02,0,,
-0.4,1,200,500,-0.08,0.02,0,,
-0.3125,8,176,340,-0.125,0.02,0.06,,
-0.12,6.25,104,340,-0.08,0.08,0.012,,
-0.4,8,200,300,-0.08,0.02,0.06,,
-0.33,2.4,200,340,-0.092,0.068,0.012,,
-0.12,1,176,340,-0.092,0.08,0.012,,
-0.4,1,200,300,-0.08,0.02,0.06,,
-0.12,1,176,460,-0.08,0.068,0.048,,
-0.05,2.4,104,340,-0.08,0.032,0.06,,
-0.12,6.6,176,470,-0.08,0.08,0.048,,
-0.4,1,80,500,-0.08,0.02,0.06,,
-0.4,6.6,176,500,-0.092,0.068,0.048,,
-0.05,2.75,80,350,-0.092,0.02,0.06,,
-0.33,6.6,80,460,-0.14,0.068,0.012,,
-0.33,2.4,104,450,-0.08,0.02,0.045,,
-0.05,8,200,300,-0.131,0.02,0.06,,
