RF_amplitude,U2,loading_signal,lost_signal,model_Ex,model_Ey,model_Ez,model_mean,obs_Ex,obs_Ey,obs_Ez,obs_value,ratio_lost,ratio_signal,timestamp,trapped_signal
2.5,0.08,7065.0,14.0,-0.12959821811849767,-0.038447885997073716,0.23043085736910326,1.5292304742314884,-0.14057742731361844,-0.05847013917267846,0.1987785846357579,0.0004010427110487267,0.003756372417493963,0.0004010427110487267,20260220_031845,2.0
2.5,0.08,6773.0,16.0,-0.06568235205986561,0.08656031193619929,0.1773119943148809,2.316739516663219,-0.08322234809268514,0.07681518553832789,0.2011934807532937,0.00035106196243637,0.004256828662646328,0.00035106196243637,20260220_032006,2.0
2.5,0.060000000000000005,6525.0,34.0,-0.2643475386685502,0.0461795145743894,0.042771957461792354,2.8999595933943985,-0.2618581033739809,0.0536154821230152,0.03247967509364802,0.013971539456662354,0.007697532261716097,0.013971539456662354,20260220_032126,54.0
2.5,0.060000000000000005,6469.0,30.0,0.07535461931957199,0.03236624171989466,0.009637125805007474,2.127915449867922,0.10601443540198624,0.019361661225984983,0.014188924168950123,0.010256410256410256,0.008862629246676515,0.010256410256410256,20260220_032246,30.0
2.5,0.060000000000000005,6599.0,30.0,-0.3312380188429847,0.15354221183347833,0.05206705479949708,3.255668093866239,-0.34131347154422237,0.12647653418512633,0.03536848272111881,0.0050520997789706345,0.0061749571183533445,0.0050520997789706345,20260220_032406,16.0
2.5,0.060000000000000005,6677.0,40.0,0.0399063770727936,0.1415697083260486,0.016975471302308018,2.1020662539990393,-0.0029543414057247586,0.13329076170645587,0.017299190808296103,0.006255864873318737,0.009383063570255689,0.006255864873318737,20260220_032527,20.0
2.5,0.060000000000000005,7259.0,30.0,0.09518239992942362,0.057614563343941605,0.0047861662757450185,1.8124304038165404,0.11095570944011829,0.08042941519655433,0.022278611861586348,0.013015184381778741,0.008239494644328481,0.013015184381778741,20260220_032652,42.0
2.5,0.060000000000000005,6895.0,70.0,-0.15218683579125744,0.09031893138762875,0.05314403578223051,2.546793527552507,-0.15130792138561355,0.08403882810440699,0.02858706466566094,0.017902097902097902,0.014190147982971822,0.017902097902097902,20260220_032812,64.0
2.5,0.060000000000000005,6801.0,12.0,0.03472219612522309,0.23151878182236246,0.2778560383907961,2.0899786653207544,-0.31601842152895127,-0.14285213546112047,0.17947505314885034,0.0005808887598024978,0.0036036036036036037,0.0005808887598024978,20260220_032933,2.0
2.5,0.060000000000000005,6743.0,58.0,-0.22676993614966473,0.03181930475816319,0.07863351226020043,1.7552771371825544,-0.04980116122358036,-0.21889813175643524,-0.06851514965725009,0.000892458723784025,0.010933081998114986,0.000892458723784025,20260220_033053,2.0
2.5,0.060000000000000005,6367.0,30.0,-0.27205004881947054,0.08839409454041647,0.028447004113004493,3.1701569630703794,-0.2728882170085283,0.06893768620598822,0.02698924647287615,0.005255474452554744,0.008748906386701663,0.005255474452554744,20260220_033216,18.0
2.5,0.04000000000000001,6425.0,62.0,0.040852321788937496,0.013505310209299681,0.04699873914358518,3.0746210395476345,0.033968679542400904,0.05316508738621356,0.043293435719587076,0.06420726555899746,0.013677476285020957,0.06420726555899746,20260220_033337,228.0
2.5,0.04000000000000001,6661.0,54.0,0.08732275577975607,-0.0866283614089266,0.038704036699013455,2.118480300100741,-0.26580514264912875,0.16021859513975534,0.04539726808005015,0.0370003303600925,0.015683996514667443,0.0370003303600925,20260220_033505,112.0
2.5,0.04000000000000001,6589.0,78.0,-0.055060980390318814,-0.11713024385786819,0.06123554977849785,2.411143222282817,-0.03483130500417714,-0.07787209963379865,0.048509523483299066,0.05165666579702583,0.0197318492284341,0.05165666579702583,20260220_033630,198.0
2.5,0.04000000000000001,6603.0,86.0,-0.16336230895884934,0.009552156808395884,0.02885000674817567,2.7785229695465388,-0.16671422496880273,0.00814070899441982,0.04549868078075728,0.04308884047446139,0.017169095627869835,0.04308884047446139,20260220_033806,178.0
2.5,0.04000000000000001,6403.0,72.0,-0.14838164156013034,0.04363773746141797,0.03617628458437841,2.9781599855346856,-0.18046093362405388,0.02457119285228898,0.0497528118688112,0.04498633592600378,0.016771488469601678,0.04498633592600378,20260220_033927,214.0
2.5,0.04000000000000001,6165.0,70.0,0.0036039530127562336,-0.0004842928739212382,0.04945563019992125,2.3448563474800816,0.03145508709296729,-0.02484080120408974,0.04868444099138686,0.0659513216435488,0.014878397711015737,0.0659513216435488,20260220_034055,252.0
2.5,0.04000000000000001,5939.0,78.0,-0.2736962088609647,0.1445744658429609,0.025517121144187832,1.90903766950306,-0.22506987973189793,0.07207220970889433,0.04708329565575689,0.05429864253393665,0.01758737316798196,0.05429864253393665,20260220_034215,204.0
2.5,0.04000000000000001,5541.0,72.0,-0.034664640753392484,0.08465544233980016,0.04860331185976621,2.45705842479869,-0.054322753909912036,0.05307948459496947,0.045862352731256106,0.06465634338494974,0.016219869339941427,0.06465634338494974,20260220_034346,238.0
2.5,0.04000000000000001,6251.0,32.0,-0.01937419051280992,0.02712278392041101,0.04567791894944845,1.7854909725612835,-0.03673025824946552,0.060541516587183875,0.040123762201230484,0.06805778491171749,0.008543965824136704,0.06805778491171749,20260220_034507,212.0
2.5,0.020000000000000004,6281.0,70.0,-0.19071400155993606,-0.0498210071866563,0.06095332995783459,2.370444906988605,-0.17978831208743487,-0.047708653761295405,0.07485164457459959,0.07605704278208657,0.017513134851138354,0.07605704278208657,20260220_034627,304.0
2.5,0.020000000000000004,5947.0,68.0,-0.32272326684898595,0.0682531744076928,0.05773694325198936,2.8336954285803078,-0.31230007359592227,0.07198082527830646,0.058285583555211934,0.10404261986837982,0.02086529610309911,0.10404261986837982,20260220_034747,332.0
2.5,0.020000000000000004,6021.0,62.0,-0.17426219183479338,-0.10006748295879081,0.0547781081155887,2.885758883166444,-0.1741268393880428,-0.11109364386322101,0.0663031687560523,0.11709159584513693,0.018885741265344664,0.11709159584513693,20260220_034940,372.0
2.5,0.020000000000000004,6173.0,54.0,-0.05882215400814256,0.1361392612784587,0.06141183081291879,2.3794259231364228,-0.03267781758224819,0.12987768424197482,0.052851375379676435,0.10269799825935597,0.015819896562214785,0.10269799825935597,20260220_035101,354.0
2.5,0.020000000000000004,5591.0,110.0,-0.21988477687812225,0.127106833846227,0.05528853398903372,2.7300890379885927,-0.22205292642872465,0.13854336852297106,0.05462629280888895,0.10989010989010989,0.02869814766501435,0.10989010989010989,20260220_035229,310.0
2.5,0.020000000000000004,5643.0,76.0,-0.053713527253019755,0.09078253601091146,0.042042230244497464,2.006384548979701,-0.04870750399469648,0.10528910901354654,0.05389499255348132,0.10112684195319271,0.01880722593417471,0.10112684195319271,20260220_035350,350.0
2.5,0.020000000000000004,5443.0,64.0,0.02542731286458133,-0.015742399118574613,0.06897554255884053,2.3804783357603156,0.021893810973853456,-0.03758081065405308,0.05645701862700869,0.10086541330945986,0.017822333611807295,0.10086541330945986,20260220_035541,338.0
2.5,0.020000000000000004,6401.0,74.0,-0.04069685303915166,0.04888036152620545,0.05738030780418096,2.36101854917722,-0.041673295794420306,0.07029122926144465,0.05413631497360302,0.11282194848824188,0.023296858453935757,0.11282194848824188,20260220_035721,403.0
2.5,0.0,5847.0,92.0,-0.18400212896731694,-0.020033922768981,0.06877402304731178,2.0130089932322446,-0.17861301996875356,-0.04224308839610441,0.06649995789815336,0.13894165535956582,0.01735052754982415,0.13894165535956582,20260220_035910,530.0
2.5,0.0,5955.0,108.0,-0.07304056627256544,-0.07586623651781674,0.08142915452186539,1.701959246575763,-0.047667656551604376,-0.08274965412616242,0.06490238647115038,0.15771499534306116,0.021561189858255142,0.15771499534306116,20260220_040105,508.0
2.5,0.0,6267.0,78.0,-0.10462557110032378,-0.06189373161845149,0.07707773207593036,2.0730094394688985,-0.012502074337348401,-0.043660485279313294,0.06422715931528067,0.16232404911650195,0.017959935528436565,0.16232404911650195,20260220_040314,566.0
2.5,0.0,5899.0,86.0,0.003105293165436951,-0.0379577850521248,0.06834703235645379,2.100700758020954,-0.0004859739795691209,-0.043553132624915114,0.06672969630000411,0.1656127672387835,0.02261803788521346,0.1656127672387835,20260220_040457,550.0
2.5,0.0,5975.0,72.0,-0.02062663897222161,0.13450502086730992,0.05667013946198604,2.1039996848677953,-0.040785708656260355,0.1312945782841855,0.05426309252264902,0.15942536790469516,0.018381414347715088,0.15942536790469516,20260220_040728,486.0
2.5,0.0,6001.0,74.0,-0.16879146676480913,-0.036535583233079205,0.05621505924332429,2.0318845421869995,-0.15352216018973905,-0.036187857992592054,0.06567579467803408,0.13417136993329912,0.01863684771033014,0.13417136993329912,20260220_040926,523.0
2.5,0.0,5857.0,72.0,-0.15035259377455976,-0.16113003933529457,0.07424682827964538,2.190834795277715,-0.13977369096533435,-0.1596634563075458,0.06851948020962353,0.162033650329188,0.018741633199464525,0.162033650329188,20260220_041218,494.0
2.5,0.0,6225.0,66.0,-0.15296029124733412,-0.12244070576380067,0.07366716707759799,2.2570313873281393,-0.15122150190836134,-0.13245696038587637,0.07340220668446773,0.20126413838988688,0.01929474384564205,0.20126413838988688,20260220_041406,605.0
2.5,0.0,6719.0,80.0,-0.24427538486542152,-0.1031178837394513,0.07218024451080246,1.8879540637212404,-0.2544100815297281,-0.08391302211825935,0.06600353214323601,0.17000377786173027,0.01891132123690263,0.17000377786173027,20260220_041539,490.0
2.5,-0.01999999999999999,6407.0,87.0,-0.04122284526815051,0.06684007571426975,0.07817691307998806,2.068653504102584,-0.17781184858315113,-0.0939604635561197,0.07838271852960604,0.1888134497251859,0.02080344332855093,0.1888134497251859,20260220_041735,652.0
